protein_id,kd,scoreSB_CB,scoreMDS_CB,scoreMDW_CB,scoreKP_CB,scoreRRP_CB,scoreMNJ_Etot_CB,scoreMNJ_Elj_CB,scoreMNJ_Ee_CB,scoreMNJ_Ehb_CB,scoreEE_CB,scoreEC_CB,scoreSB_CA,scoreMDS_CA,scoreMDW_CA,scoreKP_CA,scoreRRP_CA,scoreMNJ_Etot_CA,scoreMNJ_Elj_CA,scoreMNJ_Ee_CA,scoreMNJ_Ehb_CA,scoreEE_CA,scoreEC_CA,scoreSB_BB_NB_CB,scoreMDS_BB_NB_CB,scoreMDW_BB_NB_CB,scoreKP_BB_NB_CB,scoreRRP_BB_NB_CB,scoreMNJ_BB_NB_Etot_CB,scoreMNJ_BB_NB_Elj_CB,scoreMNJ_BB_NB_Ee_CB,scoreMNJ_BB_NB_Ehb_CB,scoreEE_BB_NB_CB,scoreEC_BB_NB_CB,scoreSB_BB_Bt_CA,scoreSB_BB_B_CA,scoreSB_BB_NB_CA,scoreMDS_BB_NB_CA,scoreMDW_BB_NB_CA,scoreKP_BB_NB_CA,scoreRRP_BB_B_CA,scoreRRP_BB_NB_CA,scoreMNJ_BB_NB_Etot_CA,scoreMNJ_BB_NB_Elj_CA,scoreMNJ_BB_NB_Ee_CA,scoreMNJ_BB_NB_Ehb_CA,scoreEE_BB_NB_CA,scoreEC_BB_NB_CA
best_model_1,10.2771623952171,7.08,25.64,15.04,3.3,-9.63,-123.28,-123.27,0.18,-0.19,2.48,-9.48,7.5,28.65,17.11,3.84,-10.57,-98.04,-97.89,0,-0.15,-2.48,-12.08,18.58,21.1,19.45,41.1,-3.54,-38.42,-38.38,0.16,-0.21,5.66,27.18,17,-5,9.86,12.34,10.8,26.98,-3.85,2.86,-0.6,-0.63,0.12,-0.09,4.4,19.78
best_model_10,8.68037253288459,0.08,4.99,-0.52,0.18,-14.13,120.65,121.02,-0.05,-0.33,9.26,-0.32,-3.08,4.74,-1.93,-2.44,-6.8,16.12,18.09,-1.91,-0.05,6.38,-3.26,15.19,17.27,16.06,6.06,-3.72,5.38,5.55,-0.04,-0.13,5.24,25.94,24,6,7.8,9.79,8.94,-8.56,-7.89,0.02,12.5,12.62,-0.07,-0.06,4.12,20.09
best_model_100,7.03683654592545,4.88,29.51,13.19,3.3,-4.14,-22.9,-27.33,4.93,-0.5,4.92,1.12,-1.06,6.54,-0.19,-0.54,3.2,-3.22,-3.14,0,-0.08,1.5,-1.04,8.82,9.56,9.21,26.04,-3.09,-6.79,-6.84,0.21,-0.16,4.43,29.48,6,4,3.66,4.02,4.05,8.34,-1.09,2.15,-1.39,-1.27,-0.02,-0.09,3.54,23.96
best_model_1000,4.6117791687647,0.4,2.07,7.78,-3.82,-43.86,42.66,42.7,-0.12,0.08,21.92,6.04,-2.16,-2.21,1.94,-4.22,-15.13,2.3,1.93,0.09,0.27,10.76,2.12,13.56,14.99,14.16,13.02,-4.73,-3.65,-3.42,-0.04,-0.19,4.28,30.47,-4,-11,6.73,8.24,7.39,0.26,-0.62,2.01,1.15,1.22,0,-0.07,3.43,25.26
best_model_1001,5.46119684191099,2.88,1.62,5.36,0.34,-52.11,-606.54,-605.15,-0.05,-1.34,14.74,4.16,2.09,0.38,3.63,-0.26,-8.75,3.95,3.69,0.1,0.17,5.8,1.46,13.48,14.9,14.1,12.86,-4.51,-0.1,0.12,-0.04,-0.18,4.27,30.36,-4,-11,6.92,8.4,7.6,1.68,-0.62,1.99,1.31,1.39,0,-0.07,3.41,25.17
best_model_1002,4.79773836245684,3.11,-5.09,2.88,-0.08,-51.49,-732.38,-728.04,-2.55,-1.8,10.56,-0.72,0.94,-6.98,-1.71,-0.98,-13.24,-207.1,-203.86,-1.93,-1.31,2.92,-2.72,13.29,14.66,13.88,11.02,-4.87,0.59,0.79,-0.02,-0.18,4.18,29.4,-4,-11,6.63,8.19,7.36,1.5,-0.62,2.02,1.23,1.27,0.03,-0.07,3.46,25.23
best_model_1003,7.34066587537538,1.7,-0.19,2.87,0.78,-24.04,-168.63,-167.1,-0.05,-1.49,11.94,4.06,2.73,-0.36,1.49,1.22,-14.71,-579.27,-576.59,0.1,-2.78,2.72,2,12.38,13.79,13.02,8.6,-4.73,-6.34,-6.11,-0.04,-0.18,4.18,29.4,-4,-11,6.95,8.43,7.67,2.42,-0.66,2.02,1.11,1.16,0.01,-0.07,3.44,25.44
best_model_1004,7.59039230805945,-0.06,-3.12,4.53,-2.2,-32.48,-83.43,-83.3,-0.05,-0.08,19.96,3.84,-1.41,-1.15,2.52,-2.42,-16.51,-210.95,-209.62,0.1,-1.43,10.56,1.28,13.9,15.33,14.46,12.42,-4.4,-3.63,-3.42,-0.02,-0.19,4.26,30.22,-4,-11,6.4,7.92,7.11,-1.04,-0.61,2.01,1.43,1.5,0,-0.07,3.38,24.98
best_model_1005,5.04052785487403,0.4,0.87,3.77,-3.16,-64.85,875.89,875.87,-0.13,0.15,18.06,5.4,-0.67,-1.7,0.92,-3.04,-9.56,28.43,28.06,0.09,0.27,9.56,3.66,13.42,14.83,13.98,13.72,-4.88,-5.84,-5.61,-0.04,-0.19,4.27,30.01,-4,-11,6.81,8.35,7.53,-1.1,-0.64,2.07,1.17,1.24,-0.01,-0.07,3.48,25.69
best_model_1006,6.73161528956496,-1.08,-1.97,5.88,-3.84,-38.23,-80.84,-80.94,-0.05,0.15,20.82,7.66,-2.54,-4.11,2.72,-3.9,-7.03,18.2,17.82,0.1,0.28,9.58,3.2,13.94,15.33,14.5,12.16,-4.81,1.24,1.47,-0.04,-0.19,4.34,30.63,-4,-11,6.96,8.47,7.66,-2.22,-0.62,2.04,1.13,1.22,-0.02,-0.07,3.45,25.38
